index,key,question,answer,vid_id,gif_name,description
2856,WJEVU-90177,Did the person interact with the thing they drank from before or after turning off a light?,before,WJEVU,WJEVU,none
2857,8LPZ0-2149,Did they touch the object they were taking after watching a picture?,yes,8LPZ0,8LPZ0,none
2858,RXLKF-93235,"After snuggling with the object they were covered by, what was the person closing?",paper,RXLKF,RXLKF,none
2859,KNGUT-3037,Did the person interact with a dish before or after holding the object they were eating?,before,KNGUT,KNGUT,none
2860,6ERRL-5414,"Which did they go in front of, a table or a closet?",table,6ERRL,6ERRL,none
2861,UIERL-10079,"While eating the object they were on the side of first, which object were they watching?",laptop,UIERL,UIERL,none
2862,NS216-169,"In the video, which object did the person go above?",bed,NS216,NS216,none
2863,WXTXF-1222,"While standing up, what did they lean on?",chair,WXTXF,WXTXF,none
2864,5FYKE-465,What did they touch after putting something on a table?,dish,5FYKE,5FYKE,none
2865,FEWUR-1326,"Of all the things the person was behind, was the last a phone?",no,FEWUR,FEWUR,none
2866,QS6O1-6305,"After opening the thing they took, was the person putting down something?",yes,QS6O1,QS6O1,none
2867,XZLNT-1483,"While standing up, what did they hold?",dish,XZLNT,XZLNT,none
2868,T0WKT-23388,"Between putting something on a table and holding some clothes, which object did the person stand on?",floor,T0WKT,T0WKT,none
2869,YAPN7-214734,What did they take while putting some food somewhere?,clothes,YAPN7,YAPN7,none
2870,05ZNF-37286,"While sitting in the last thing they went on the side of, which was the person in front of, a dish or the last thing they put down?",dish,05ZNF,05ZNF,none
2871,2544C-33975,What did they tidy before walking through a doorway but after throwing a blanket somewhere?,table,2544C,2544C,none
2872,D2VU8-249045,Which object did the person sit on before snuggling with a blanket but after putting a phone somewhere?,bed,D2VU8,D2VU8,none
2873,R4ENI-14805,"Between taking food from somewhere and drinking from a cup, what was the person watching?",window,R4ENI,R4ENI,none
2874,DED50-22075,Were they above a blanket or some food while sitting in the object they were behind first?,blanket,DED50,DED50,none
2875,Q07NE-20261,Did the person hold both a doorknob and the object they were taking before walking through a doorway but after watching a laptop or something on a laptop?,yes,Q07NE,Q07NE,none
2876,7B8EQ-2291,"While dressing themselves, which object did the person watch?",mirror,7B8EQ,7B8EQ,none
2877,5AHQV-7035,"Before throwing the thing they put down somewhere, did they stand on a doorway?",yes,5AHQV,5AHQV,none
2878,D0V0Y-19167,Which object were they in front of between walking through a doorway and taking off some shoes?,door,D0V0Y,D0V0Y,none
2879,BB8Q0-25034,"Between taking food from somewhere and opening a window, which object were they sitting on?",chair,BB8Q0,BB8Q0,none
2880,P0ILN-19324,Which object did the person sit on while holding a phone?,bed,P0ILN,P0ILN,none
2881,ARCUY-11490,"While taking the last thing they went behind from somewhere, what was the person touching?",chair,ARCUY,ARCUY,none
2882,16CWY-5704,"In the video, which did they go on the side of, a television or a chair?",television,16CWY,16CWY,none
2883,3K2QE-2752,Had the person worked on anything after sitting on the object they were lying on?,no,3K2QE,3K2QE,none
2884,MXW4N-25,Were they interacting with a phone?,yes,MXW4N,MXW4N,none
2885,SG8ZR-37907,"Of everything they went on the side of between putting a blanket somewhere and standing up, was the first a bag?",no,SG8ZR,SG8ZR,none
2886,WJEVU-123577,"After putting a book somewhere, did they go in front of a bed or the object they were holding last first?",bed,WJEVU,WJEVU,none
2887,555RO-15953,Which object did the person go in front of between throwing something on the floor and closing a door?,blanket,555RO,555RO,none
2888,R8OTI-3965,What was the person touching before taking the thing they held from somewhere?,table,R8OTI,R8OTI,none
2889,WV8SY-4406,Which object did the person put down while walking through a doorway?,paper,WV8SY,WV8SY,none
2890,4P13T-5351,Did they hold the first thing they went on the side of but not the last thing they went on the side of between running somewhere and taking a book from somewhere?,yes,4P13T,4P13T,none
2891,V8H9M-5887,"While holding the object they were taking, which object did the person throw?",floor,V8H9M,V8H9M,none
2892,KX7FC-2352,What were they doing before sitting on the object they were lying on?,lying on the floor,KX7FC,KX7FC,none
2893,7AH3L-806,"Before starting to take a vacuum from somewhere, which object did the person lie on?",floor,7AH3L,7AH3L,none
2894,3DO95-27718,What did they go above while taking the object they were putting down from somewhere?,bed,3DO95,3DO95,none
2895,L4FWN-5323,Was the person putting down a picture but not the thing they put down?,no,L4FWN,L4FWN,none
2896,K90LN-1763,Was the person holding a bag or making some food for less time?,holding a bag,K90LN,K90LN,none
2897,NALYZ-46174,"While sitting in a chair, what did they close?",paper,NALYZ,NALYZ,none
2898,19ZGX-4,Was a dish one of the things they were interacting with?,yes,19ZGX,19ZGX,none
2899,HFTEO-78637,Which object were they on the side of while lying on the object they were in front of last?,clothes,HFTEO,HFTEO,none
2900,ZSJ2I-4177,What was the person interacting with between sitting at a table and closing a door?,doorway,ZSJ2I,ZSJ2I,none
2901,ACJBD-18030,"Before holding the thing they carried, did they tidy some clothes but not a table?",no,ACJBD,ACJBD,none
2902,5XKVP-9750,"Before standing up, which object were they touching?",chair,5XKVP,5XKVP,none
2903,QKOP0-5311,Did they touch a doorway but not the object they were putting down after sitting on a table?,no,QKOP0,QKOP0,none
2904,QM7Q3-1817,Did they open anything after smiling in the thing they watched?,no,QM7Q3,QM7Q3,none
2905,FPQRX-20820,"Of all the things the person was taking while awakening in bed, was the last the first thing they put down?",yes,FPQRX,FPQRX,none
2906,YAPN7-358739,"While holding the thing they snuggled, of everything the person went on the side of, was the last a bag?",no,YAPN7,YAPN7,none
2907,7N4TW-81764,"Before standing up, did they go behind some clothes or a shoe?",clothes,7N4TW,7N4TW,none
2908,C8KER-8197,"Before holding a cup of something but after grasping onto a doorknob, did they go behind a door or the last thing they went on the side of?",door,C8KER,C8KER,none
2909,TTZVW-5224,Was a window the first thing they were on the side of between taking food from somewhere and holding a cup of something?,no,TTZVW,TTZVW,none
2910,AMIHY-17456,"After eating the object they were holding first, what was the person taking?",dish,AMIHY,AMIHY,none
2911,V3LMY-4288,What did they go on the side of before starting to wash a cup?,bed,V3LMY,V3LMY,none
2912,7XVS7-8142,"Before putting a cup somewhere, was the person touching both a laptop and the object they were snuggling?",no,7XVS7,7XVS7,none
2913,7P0HA-3363,"In the video, which object were they behind first?",medicine,7P0HA,7P0HA,none
2914,WTJQ0-6451,"Which were they behind after holding the object they were above, a table or a door?",door,WTJQ0,WTJQ0,none
2915,K4XO7-4557,What was the person lying on before holding a blanket?,bed,K4XO7,K4XO7,none
2916,T7TV9-452,Had they played on something?,no,T7TV9,T7TV9,none
2917,14JPP-3095,What did they lie on while watching something in a mirror?,bed,14JPP,14JPP,none
2918,UZMMO-8064,"Before sitting in the thing they went in front of, what was the person behind last?",paper,UZMMO,UZMMO,none
2919,KJOWG-724,Did they put down some food after washing something with a blanket?,yes,KJOWG,KJOWG,none
2920,N5895-1107,What was the person touching between taking a phone from somewhere and holding a phone?,box,N5895,N5895,none
2921,F2KKH-8668,Did they close anything before or after going from standing to sitting?,before,F2KKH,F2KKH,none
2922,OKVGK-96741,Did they go on the side of a door first after putting the thing they took somewhere?,no,OKVGK,OKVGK,none
2923,LC1NU-8358,Were they above some food or some clothes?,food,LC1NU,LC1NU,none
2924,6PQZE-15979,What did they stand on before putting the thing they took somewhere?,floor,6PQZE,6PQZE,none
2925,E9FY2-30721,Which object did the person go above between eating some food and taking some clothes from somewhere?,chair,E9FY2,E9FY2,none
2926,J4RPL-2671,Did they throw anything after putting their paper somewhere?,yes,J4RPL,J4RPL,none
2927,5JSFE-2743,"While walking through a doorway, was a door or a paper the thing they went in front of?",door,5JSFE,5JSFE,none
2928,3ND23-72573,Were they interacting with the thing they tidied before or after holding the object they were on the side of last?,before,3ND23,3ND23,none
2929,A3MOW-10818,"While watching a picture, of everything the person went above, was the first some food?",no,A3MOW,A3MOW,none
2930,2LERW-3313,Which object were they putting down while taking the thing they wore from somewhere?,paper,2LERW,2LERW,none
2931,V3CWF-4008,"While putting something on a table, what was the person watching?",picture,V3CWF,V3CWF,none
2932,7DU77-9413,"Before standing up, was a dish or a bed the thing they went on the side of?",dish,7DU77,7DU77,none
2933,ZS9XR-61140,Were they interacting with the last thing they held before or after washing the thing they tidied?,before,ZS9XR,ZS9XR,none
2934,BMPEV-7592,"Of all the things the person was on the side of between taking a bag from somewhere and turning off a light, was the first a table?",yes,BMPEV,BMPEV,none
2935,VRMNI-19550,"After opening the first thing they went on the side of, was a table the first thing they wiped?",no,VRMNI,VRMNI,none
2936,ET224-143306,"After taking the first thing they went behind from somewhere, what was the person above?",food,ET224,ET224,none
2937,KWONB-9305,Which object were they throwing before starting to close a closet?,clothes,KWONB,KWONB,none
2938,AFTMI-14799,What did they hold while tidying up a table?,pillow,AFTMI,AFTMI,none
2939,00NN7-18358,Which object were they working on before sitting in a chair but after closing a closet?,table,00NN7,00NN7,none
2940,YNJ86-7573,Was the person watching a book or sitting in a chair for less time?,watching a book,YNJ86,YNJ86,none
2941,97JCX-11716,What was the person watching before putting the thing they dressed somewhere?,mirror,97JCX,97JCX,none
2942,K8ZIK-11549,"After opening the first thing they went behind, what did they take?",food,K8ZIK,K8ZIK,none
2943,71J7E-3899,What was the person tidying after putting the object they were taking somewhere?,table,71J7E,71J7E,none
2944,1WJ6O-42924,"In the video, were they touching the thing they threw but not the thing they watched?",no,1WJ6O,1WJ6O,none
2945,SG8ZR-62540,"While putting the thing they went in somewhere, what did they go in front of?",bed,SG8ZR,SG8ZR,none
2946,72VJD-934,"After talking on a phone, did they interact with a refrigerator?",no,72VJD,72VJD,none
2947,3H09L-4445,"Before opening a window but after laughing at something, which object did the person go on the side of?",bed,3H09L,3H09L,none
2948,F1QR1-59668,"Which were they on the side of after holding the first thing they threw, the object they were in front of last or the last thing they threw?",door,F1QR1,F1QR1,none
2949,ZS9XR-42852,"Which did they go on the side of after standing up, the last thing they took or the last thing they went in front of?",table,ZS9XR,ZS9XR,none
2950,CEHLQ-2054,"Before starting to put a book somewhere, what did they go above?",chair,CEHLQ,CEHLQ,none
2951,Z6HSZ-6279,Did the person interact with a door before or after eating the thing they went above?,after,Z6HSZ,Z6HSZ,none
2952,7UGF7-8647,"After taking food from somewhere, did they go in front of a table or a dish?",table,7UGF7,7UGF7,none
2953,ZCG3J-25099,Was the person opening the object they were touching first but not the thing they took?,no,ZCG3J,ZCG3J,none
2954,WZP3R-13654,What was the person tidying before holding the thing they went on the side of?,clothes,WZP3R,WZP3R,none
2955,20WZU-3908,"After sneezing somewhere, which object did the person go above?",food,20WZU,20WZU,none
2956,R390Z-225,Were they interacting with a dish?,yes,R390Z,R390Z,none
2957,DB52Q-6622,Were they interacting with the object they were drinking from before or after opening the object they were closing?,after,DB52Q,DB52Q,none
2958,QXBTG-29328,Which object did the person go in after opening the thing they closed?,shoe,QXBTG,QXBTG,none
2959,15TWQ-13126,"In the video, which did they go in front of last, a mirror or a doorway?",doorway,15TWQ,15TWQ,none
2960,1D31Z-18742,"Before putting a bag somewhere but after taking food from somewhere, was a doorway the last thing they went in front of?",no,1D31Z,1D31Z,none
2961,YTV2H-3991,"After drinking from a cup, was a table or the last thing they touched the thing they went behind?",table,YTV2H,YTV2H,none
2962,J18JX-2464,What was the person behind while holding the object they were in front of?,paper,J18JX,J18JX,none
2963,E9EKR-5987,Did the person interact with the object they were above before or after throwing the object they were putting down somewhere?,before,E9EKR,E9EKR,none
2964,FUT86-51916,"While putting something on a table, was a chair or the last thing they put down the thing they went on the side of?",food,FUT86,FUT86,none
2965,OKVGK-63682,"After closing a door, which object did the person wear?",clothes,OKVGK,OKVGK,none
2966,J3UKN-11540,"Which were they behind after putting a bag somewhere, some food or a doorway?",doorway,J3UKN,J3UKN,none
2967,6W82I-521,Was the person leaning on anything while doing the thing they spent the longest amount of time doing?,no,6W82I,6W82I,none
2968,H2B7U-3512,"Between putting clothes somewhere and closing a door, which object were they in front of?",table,H2B7U,H2B7U,none
2969,11TTU-20981,What did they lean on before playing with a phone but after going from standing to sitting?,chair,11TTU,11TTU,none
2970,B6HUA-267,Was the person holding the thing they went behind?,yes,B6HUA,B6HUA,none
2971,MC34P-2710,Which object did the person go in front of while holding a phone?,bed,MC34P,MC34P,none
2972,8NW4J-103338,What was the person in while standing up?,clothes,8NW4J,8NW4J,none
2973,Q49E0-6704,What did they go behind last before watching outside of a window?,bed,Q49E0,Q49E0,none
2974,92NRK-1629,"In the video, which object did the person watch?",television,92NRK,92NRK,none
2975,33OVO-19976,"Before taking some clothes from somewhere, what did they close?",door,33OVO,33OVO,none
2976,CNX6I-6881,"Of everything they went on the side of before taking the thing they held from somewhere, was the last a laptop?",no,CNX6I,CNX6I,none
2977,US6P9-2236,What was the person taking while holding a picture?,phone,US6P9,US6P9,none
2978,SUKBV-13727,"While snuggling with a blanket, was a pillow the last thing they went in front of?",yes,SUKBV,SUKBV,none
2979,0S9KN-9394,"While holding the object they were putting down, which object were they above?",chair,0S9KN,0S9KN,none
2980,SFPJ7-66172,What did they take while putting the first thing they went behind somewhere?,bag,SFPJ7,SFPJ7,none
2981,FM078-38126,"While tidying up the object they were on the side of last, did they hold a dish or some food?",food,FM078,FM078,none
2982,A6NH2-1510,Had the person opened anything while taking a vacuum from somewhere?,no,A6NH2,A6NH2,none
2983,8S9AF-6507,Did they take some clothes but not the object they were carrying between sitting at a table and walking through a doorway?,no,8S9AF,8S9AF,none
2984,57MEO-2830,Were they touching a paper or a table after opening a door?,paper,57MEO,57MEO,none
2985,FZJTT-24052,What did they wear after taking a phone from somewhere?,shoe,FZJTT,FZJTT,none
2986,IXVGR-4899,"Before playing with the thing they took, what did they lean on?",chair,IXVGR,IXVGR,none
2987,2XVR0-4759,"Which were they touching while taking a dish from somewhere, a paper or a table?",paper,2XVR0,2XVR0,none
2988,78R4Y-10233,"After putting a bag somewhere, what did they go in front of?",refrigerator,78R4Y,78R4Y,none
2989,555RO-33469,Did they stand on anything before or after grasping onto a doorknob?,before,555RO,555RO,none
2990,JHU46-2832,"Before taking the object they were above from somewhere, which object were they opening?",bag,JHU46,JHU46,none
2991,C8KER-11815,"While opening the last thing they went on the side of, what was the person grasping?",doorknob,C8KER,C8KER,none
2992,8MX1T-6827,"Before holding a cup of something but after holding a shoe, what was the person above?",bed,8MX1T,8MX1T,none
2993,3ZC4Y-9775,"Before opening the last thing they went on the side of, which was the person on the side of, a dish or the last thing they touched?",food,3ZC4Y,3ZC4Y,none
2994,SU8PN-17464,"While holding the object they were putting down, which object did the person go in front of?",bed,SU8PN,SU8PN,none
2995,5SGU6-12479,Was a dish or the object they were in front of last the thing they touched after opening a closet?,dish,5SGU6,5SGU6,none
2996,CVK5Z-54084,"Before undressing themselves, what did they go on the side of?",shoe,CVK5Z,CVK5Z,none
2997,UJJ6Z-454,Did they hold some medicine while opening a book?,yes,UJJ6Z,UJJ6Z,none
2998,X5QMG-14465,"While standing up, which object did the person tidy?",table,X5QMG,X5QMG,none
2999,WBS4I-7019,"Before starting to take paper from somewhere, which object did the person go on the side of?",light,WBS4I,WBS4I,none
3000,S2KYK-2613,Did they snuggle something while watching the thing they went on the side of or something on the thing they went on the side of?,yes,S2KYK,S2KYK,none
3001,7JSAI-10770,"After taking food from somewhere, did they go on the side of a bag or a table first?",bag,7JSAI,7JSAI,none
3002,5D351-8153,Which object were they sitting on before taking the object they were undressing from somewhere?,chair,5D351,5D351,none
3003,3P38N-4257,Did they hold a book or watch a book for more time?,holding a book,3P38N,3P38N,none
3004,GPSIM-40583,What was the person watching after holding the object they were putting down first?,television,GPSIM,GPSIM,none
3005,HD38O-54076,"Which were they on the side of before drinking from a cup, some food or a table?",food,HD38O,HD38O,none
3006,IST7I-22967,What did they sit on while holding a box?,bed,IST7I,IST7I,none
3007,F8HLI-4660,"Of everything they held while running somewhere, was the first a laptop?",yes,F8HLI,F8HLI,none
3008,NB6F5-3873,What did they go on the side of while standing up?,bag,NB6F5,NB6F5,none
3009,JIOD0-20989,What did they throw between standing up and closing a door?,blanket,JIOD0,JIOD0,none
3010,TJKGJ-60470,What was the person above after holding the thing they went beneath?,chair,TJKGJ,TJKGJ,none
3011,I30LP-1759,What did they laugh while sitting in the object they were above?,television,I30LP,I30LP,none
3012,Y4LT8-28922,"While closing the object they were behind first, which did they go in front of, a chair or some food?",chair,Y4LT8,Y4LT8,none
3013,VX1GX-45590,What did they go in front of after putting the object they were beneath somewhere?,dish,VX1GX,VX1GX,none
3014,2CR09-8640,"After opening a door, which did they go on the side of, a doorway or the last thing they went in?",clothes,2CR09,2CR09,none
3015,L2ZZB-24342,"Before putting a phone somewhere but after going from standing to sitting, what did they lie on?",floor,L2ZZB,L2ZZB,none
3016,GG4UR-6820,Was the person leaning on a bed after opening the object they were closing?,no,GG4UR,GG4UR,none
3017,N3CUK-31984,Was the person holding a paper but not the first thing they went on the side of before sitting in the thing they went above?,no,N3CUK,N3CUK,none
3018,K0Z9V-8936,Did the person interact with the object they were taking before or after opening the thing they closed?,before,K0Z9V,K0Z9V,none
3019,LWINQ-21608,"Before sitting in the object they were leaning on, which did they put down, the object they were covered by last or the last thing they took?",blanket,LWINQ,LWINQ,none
3020,R1B8I-1570,Which object were they grasping before watching outside of a window?,doorknob,R1B8I,R1B8I,none
3021,NHXI3-11584,Was holding a book something they spent less time doing than turning on a light?,no,NHXI3,NHXI3,none
3022,DED50-22072,"While sitting in the first thing they went on the side of, which was the person above, a blanket or some food?",blanket,DED50,DED50,none
3023,AZ5JS-3760,"In the video, what did they go behind last?",blanket,AZ5JS,AZ5JS,none
3024,2ECXI-191794,Which object were they holding after putting the object they were snuggling somewhere?,laptop,2ECXI,2ECXI,none
3025,6B93R-407,Does someone interact with a phone after taking a cup from somewhere?,no,6B93R,6B93R,none
3026,X1RBM-5401,What did they go behind first?,mirror,X1RBM,X1RBM,none
3027,ZPNW7-393,Is there a laptop the person interacts with?,no,ZPNW7,ZPNW7,none
3028,5T607-11347,"Before closing the thing they opened, which object did the person grasp?",doorknob,5T607,5T607,none
3029,1MD1H-158498,Which object did the person go in between holding a blanket and sitting in a bed?,shoe,1MD1H,1MD1H,none
3030,D1D55-15100,"Before standing up but after sneezing somewhere, which object did the person lean on?",chair,D1D55,D1D55,none
3031,YX0RG-2673,Which object did the person take between putting a dish somewhere and holding a dish?,shoe,YX0RG,YX0RG,none
3032,4PCSC-28308,Were they on the side of the floor or a blanket after throwing the first thing they carried somewhere?,floor,4PCSC,4PCSC,none
3033,TX020-4486,"After walking through a doorway, what was the person in?",shoe,TX020,TX020,none
3034,CN108-3517,"While standing up, which object did the person sit on?",floor,CN108,CN108,none
3035,5AE54-40355,"Before washing a table, what was the person behind last?",blanket,5AE54,5AE54,none
3036,NHD1J-72617,Were they on the side of a television or a dish while holding the object they were taking first?,dish,NHD1J,NHD1J,none
3037,LFU36-14078,What was the person interacting with after closing the thing they went above?,dish,LFU36,LFU36,none
3038,UFNPU-7880,Which object did the person close before taking a dish from somewhere?,door,UFNPU,UFNPU,none
3039,3731F-225,Is there a refrigerator the person interacts with before holding a cup of something but after watching a laptop or something on a laptop?,yes,3731F,3731F,none
3040,K2L7F-3634,Was walking an object something they did before or after they lay on the floor?,before,K2L7F,K2L7F,none
3041,LTYK5-6299,What did they tidy while opening the object they were touching last?,clothes,LTYK5,LTYK5,none
3042,V8H9M-2527,What was the person standing on after taking a box from somewhere?,floor,V8H9M,V8H9M,none
3043,7B3J0-2827,"Before starting to put a box somewhere, which was the person on the side of, a table or the object they were touching last?",closet,7B3J0,7B3J0,none
3044,5XA4R-8098,What did they hold after sitting in the object they were above?,pillow,5XA4R,5XA4R,none
3045,8PL34-8761,"Before throwing shoes somewhere but after going from standing to sitting, what did they go above?",bed,8PL34,8PL34,none
3046,FPWD0-11969,"While sitting at a table, what was the person leaning on?",chair,FPWD0,FPWD0,none
3047,6JB5R-4552,"After sitting in a chair, which object were they holding?",food,6JB5R,6JB5R,none
3048,XOMJ4-11351,Which object did the person wipe after putting something on a table?,dish,XOMJ4,XOMJ4,none
3049,ED0VL-15411,Was the person holding a bag or walking through a doorway for a larger amount of time?,walking through a doorway,ED0VL,ED0VL,none
3050,P0ILN-19719,"In the video, which was the person on the side of, a bed or a shoe?",bed,P0ILN,P0ILN,none
3051,56XKK-36909,Did the person interact with the thing they snuggled before or after opening the object they were closing?,after,56XKK,56XKK,none
3052,61N26-2399,"Of all the things the person was on the side of after holding a broom, was the first a laptop?",no,61N26,61N26,none
3053,490S2-6412,Did they play on something before or after they drank from a cup?,after,490S2,490S2,none
3054,6NBQ6-584,Did the person touch both a mirror and the thing they went on the side of?,yes,6NBQ6,6NBQ6,none
3055,8RFDF-8563,"While taking a blanket from somewhere, which object were they in front of?",chair,8RFDF,8RFDF,none
3056,A42FN-16510,What was the person putting down last before opening the object they were tidying?,dish,A42FN,A42FN,none
3057,CTPR2-778,What was the person taking after sitting on the floor?,vacuum,CTPR2,CTPR2,none
3058,8ZO48-36868,What was the person taking while throwing the object they were behind first somewhere?,laptop,8ZO48,8ZO48,none
3059,73X8Q-13153,Were they putting down a phone or a laptop last?,laptop,73X8Q,73X8Q,none
3060,KW0K8-935,Which object were they touching before starting to go from standing to sitting?,phone,KW0K8,KW0K8,none
3061,ZFZEN-99870,What was the person in before fixing their hair but after lying on a bed?,clothes,ZFZEN,ZFZEN,none
3062,RXIAX-1121,Did they close a box?,yes,RXIAX,RXIAX,none
3063,HAIVQ-13535,Was the person eating anything after tidying the thing they got covered by?,yes,HAIVQ,HAIVQ,none
3064,ARN8U-5816,"While holding a blanket, what did they lie on?",bed,ARN8U,ARN8U,none
3065,X8I9J-1196,"In the video, what was the person wearing?",clothes,X8I9J,X8I9J,none
3066,WRW74-4753,Which object were they touching after taking something from a box?,dish,WRW74,WRW74,none
3067,F87XT-348,Did they drink from anything?,no,F87XT,F87XT,none
3068,M43KR-11442,"While taking the object they were playing on from somewhere, which object did the person put down?",food,M43KR,M43KR,none
3069,6VF2L-11076,"While holding the object they were putting down, what did they stand on?",floor,6VF2L,6VF2L,none
3070,REOES-24447,Did they play on anything before or after watching a book?,after,REOES,REOES,none
3071,YCGJS-4630,Was the person holding anything before making some food but after walking through a doorway?,yes,YCGJS,YCGJS,none
3072,9T0AC-22763,What did they go above after opening the object they were taking?,bed,9T0AC,9T0AC,none
3073,AMP3N-1187,What was the person behind last?,mirror,AMP3N,AMP3N,none
3074,FQ282-1568,"After tidying something on the floor, did they open the first thing they held?",no,FQ282,FQ282,none
3075,BNSQN-409,Did they go on the side of a vacuum first?,yes,BNSQN,BNSQN,none
3076,CRW0G-9793,"After holding the first thing they went behind, did they interact with a closet?",no,CRW0G,CRW0G,none
3077,AVA41-15736,Was grasping onto a doorknob something they did before or after they closed a closet?,after,AVA41,AVA41,none
3078,JIOD0-20986,What was the person throwing while grasping onto a doorknob?,blanket,JIOD0,JIOD0,none
3079,QX33M-1885,"Between fixing their hair and opening a door, did they touch the thing they went above?",yes,QX33M,QX33M,none
3080,29T54-22006,"After holding the object they were undressing, which object did the person grasp?",doorknob,29T54,29T54,none
3081,KS0FF-4260,Was interacting with the floor something they did before or after they took a laptop from somewhere?,after,KS0FF,KS0FF,none
3082,9BCOH-583,"While watching the object they were on the side of or something on the object they were on the side of, what was the person in front of?",floor,9BCOH,9BCOH,none
3083,6PZJ3-7770,"After walking through a doorway, which was the person in front of, some food or a blanket?",food,6PZJ3,6PZJ3,none
3084,HN362-32610,What was the person in front of between opening a bag and sitting on a table?,chair,HN362,HN362,none
3085,OX5TB-10158,"Before doing the longest action, what did they hold?",clothes,OX5TB,OX5TB,none
3086,VG0GK-18940,Were they interacting with the thing they took before or after eating some food?,after,VG0GK,VG0GK,none
3087,JVV45-2679,What did they sit on while eating some food?,chair,JVV45,JVV45,none
3088,TVDWJ-9325,Which object were they above between taking a phone from somewhere and drinking from a cup?,bed,TVDWJ,TVDWJ,none
3089,3ZC4Y-9813,"Which did they go on the side of while opening the object they were on the side of first, a dish or the last thing they held?",food,3ZC4Y,3ZC4Y,none
3090,YD9OX-9945,Which object were they touching after holding the thing they went beneath?,clothes,YD9OX,YD9OX,none
3091,JOBFJ-13354,"In the video, which was the person on the side of, a table or the last thing they went behind?",table,JOBFJ,JOBFJ,none
3092,DEJ35-68000,"After taking the first thing they put down from somewhere, which was the person on the side of, a bed or some food?",bed,DEJ35,DEJ35,none
3093,KPHP5-2215,"In the video, did they wipe anything?",no,KPHP5,KPHP5,none
3094,U6L1X-3764,Which object were they holding before throwing something on the floor but after turning on a light?,broom,U6L1X,U6L1X,none
3095,C1BON-1207,Which object did the person put down while holding the thing they played on?,box,C1BON,C1BON,none
3096,02SK4-33157,"While putting the object they were holding last somewhere, which was the person holding, a dish or the last thing they went above?",chair,02SK4,02SK4,none
3097,B8PQL-19371,What was the person holding after closing a door?,broom,B8PQL,B8PQL,none
3098,T0HLX-17180,Were they in front of a table or a doorway while opening the first thing they went in front of?,table,T0HLX,T0HLX,none
3099,3AEF5-21788,Which object did the person go above after taking the object they were holding last from somewhere?,chair,3AEF5,3AEF5,none
3100,T1KK1-21636,"Before taking the last thing they put down from somewhere, which object did the person put down?",dish,T1KK1,T1KK1,none
3101,X42YA-8332,"While going from standing to sitting, which was the person on the side of, a door or the object they were holding last?",shoe,X42YA,X42YA,none
3102,2K755-8924,Did they take some clothes first while putting a dish somewhere?,yes,2K755,2K755,none
3103,2B3BL-14034,"While holding the object they were opening last, what did they sit on?",clothes,2B3BL,2B3BL,none
3104,7SQXM-287,"In the video, was the person undressing anything?",no,7SQXM,7SQXM,none
3105,59KH0-42176,"After fixing their hair, was a mirror or a laptop the thing they went on the side of?",mirror,59KH0,59KH0,none
3106,PRQSR-5271,Which object were they undressing before throwing something on the thing they stood on?,shoe,PRQSR,PRQSR,none
3107,G3WBE-11300,Were they touching both a phone and the object they were putting down after watching something in the object they were on the side of first?,yes,G3WBE,G3WBE,none
3108,IQ0ZX-3869,Was the person sitting on a table while taking a cup from somewhere?,yes,IQ0ZX,IQ0ZX,none
3109,T1KK1-21977,"While holding the object they were eating, which did they go in front of, a dish or a bed?",dish,T1KK1,T1KK1,none
3110,ZKNHG-11468,What did they take while putting the object they were taking first somewhere?,phone,ZKNHG,ZKNHG,none
3111,S1LQF-424,Is there a laptop the person interacts with between sitting at a table and putting a cup somewhere?,no,S1LQF,S1LQF,none
3112,LNR61-645,"In the video, which object were they interacting with?",blanket,LNR61,LNR61,none
3113,VAIVN-56510,Was the person putting down the object they were closing but not the thing they undressed before putting the object they were snuggling somewhere?,yes,VAIVN,VAIVN,none
3114,OEE36-16403,"Before closing the last thing they put down, what was the person holding?",blanket,OEE36,OEE36,none
3115,01KML-175,"Between tidying something on the floor and holding a laptop, did they interact with a bed?",no,01KML,01KML,none
3116,VOAAZ-12910,Were they interacting with a phone before or after holding the object they were dressing?,after,VOAAZ,VOAAZ,none
3117,YGYU5-5941,"Of everything they went above before tidying the last thing they held, was the last a bed?",yes,YGYU5,YGYU5,none
3118,DEJ35-67684,"After lying on the object they were on the side of first, which object did the person tidy?",table,DEJ35,DEJ35,none
3119,T0PJG-6630,"Before standing up but after taking a blanket from somewhere, was the person touching both a bed and a table?",no,T0PJG,T0PJG,none
3120,DQ0EE-4397,Which object did the person sit on last while playing with a phone?,bed,DQ0EE,DQ0EE,none
3121,SM5WL-3632,Which object did the person tidy while holding a paper?,blanket,SM5WL,SM5WL,none
3122,44Q8A-12138,What did they sit on while standing up?,chair,44Q8A,44Q8A,none
3123,VSO80-6065,Which object were they touching before starting to take food from somewhere?,refrigerator,VSO80,VSO80,none
3124,I0IW5-12846,"Before going from standing to sitting but after walking through a doorway, what did they go in front of?",bed,I0IW5,I0IW5,none
3125,6TVXT-4889,Were they touching both a pillow and a paper while snuggling with a blanket?,no,6TVXT,6TVXT,none
3126,68QO4-7009,Which object were they watching while putting something on a table?,paper,68QO4,68QO4,none
3127,I6NJ6-31863,"Before starting to take a blanket from somewhere, what did they go above?",bed,I6NJ6,I6NJ6,none
